PlateID,Row,Column,Organism,Species,id,Tissue,Comments,QC,pop,Region,Subregion,lat,lon
2,D,3,Pocillopora,Meandrina,P ver 381,unknown,none,Pass,Bougainville,Coral Sea,Coral Sea,15.49273,147.08638
2,E,3,Pocillopora,Meandrina,P ver 382,unknown,none,Pass,Bougainville,Coral Sea,Coral Sea,15.49273,147.08638
2,F,3,Pocillopora,Meandrina,P ver 062,unknown,none,Fail,Frederick,Coral Sea,Coral Sea,21.0113,154.35043
2,G,3,Pocillopora,Meandrina,P ver 064,unknown,none,Fail,Frederick,Coral Sea,Coral Sea,21.0113,154.35043
2,H,3,Pocillopora,Meandrina,P ver 065,unknown,none,Downshift,Frederick,Coral Sea,Coral Sea,21.0113,154.35043
2,A,4,Pocillopora,Meandrina,P ver 066,unknown,none,Pass,Frederick,Coral Sea,Coral Sea,21.0113,154.35043
2,B,4,Pocillopora,Meandrina,P ver 067,unknown,none,Pass,Frederick,Coral Sea,Coral Sea,21.0113,154.35043
2,C,4,Pocillopora,Meandrina,P ver 072,unknown,none,Downshift,Frederick,Coral Sea,Coral Sea,21.0113,154.35043
2,D,4,Pocillopora,Meandrina,P ver 074,unknown,none,Downshift,Frederick,Coral Sea,Coral Sea,21.0113,154.35043
2,E,4,Pocillopora,Meandrina,P ver 104,unknown,none,Downshift,Marion,Coral Sea,Coral Sea,18.98541,152.34488
2,F,4,Pocillopora,Meandrina,P ver 105,unknown,none,Downshift,Marion,Coral Sea,Coral Sea,18.98541,152.34488
2,G,4,Pocillopora,Meandrina,P ver 107,unknown,none,Downshift,Marion,Coral Sea,Coral Sea,18.98541,152.34488
2,H,4,Pocillopora,Meandrina,P ver 108,unknown,none,Fail,Marion,Coral Sea,Coral Sea,18.98541,152.34488
2,A,5,Pocillopora,Meandrina,P ver 112,unknown,none,Pass,Marion,Coral Sea,Coral Sea,18.98541,152.34488
2,B,5,Pocillopora,Meandrina,P ver 291,unknown,none,Pass,Holmes,Coral Sea,Coral Sea,16.5045,147.99681
2,C,5,Pocillopora,Meandrina,P ver 304,unknown,none,Downshift,Holmes,Coral Sea,Coral Sea,16.5045,147.99681
2,D,5,Pocillopora,Meandrina,P ver 305,unknown,none,Fail,Holmes,Coral Sea,Coral Sea,16.5045,147.99681
2,E,5,Pocillopora,Meandrina,P ver 306,unknown,none,Pass,Holmes,Coral Sea,Coral Sea,16.5045,147.99681
