PlateID,Row,Column,Organism,Species,id,Tissue,Comments,pop,Region,lat,lon
2,H,6,Pocillopora,Verrucosa,P ver 219,unknown,none,Lihou,Coral Sea,17.59707,151.48956
2,A,7,Pocillopora,Verrucosa,P ver 393,unknown,none,Osprey,Coral Sea,13.88078,146.5588
2,B,7,Pocillopora,Verrucosa,P ver 395,unknown,none,Osprey,Coral Sea,13.88078,146.5588
2,C,7,Pocillopora,Verrucosa,P ver 396,unknown,none,Osprey,Coral Sea,13.88078,146.5588
2,D,7,Pocillopora,Verrucosa,P ver 397,unknown,none,Osprey,Coral Sea,13.88078,146.5588
2,E,7,Pocillopora,Verrucosa,P ver 399,unknown,none,Osprey,Coral Sea,13.88078,146.5588
3,A,1,Pocillopora,Verrucosa,P ver 135,unknown,none,Flinders,Coral Sea,17.71357,148.43713
3,B,1,Pocillopora,Verrucosa,P ver 136,unknown,none,Flinders,Coral Sea,17.71357,148.43713
3,C,1,Pocillopora,Verrucosa,P ver 138,unknown,none,Flinders,Coral Sea,17.71357,148.43713
3,D,1,Pocillopora,Verrucosa,P ver 139,unknown,none,Flinders,Coral Sea,17.71357,148.43713
3,E,1,Pocillopora,Verrucosa,P ver 140,unknown,none,Flinders,Coral Sea,17.71357,148.43713
3,F,1,Pocillopora,Verrucosa,P ver 141,unknown,none,Flinders,Coral Sea,17.71357,148.43713
3,G,1,Pocillopora,Verrucosa,P ver 144,unknown,none,Flinders,Coral Sea,17.71357,148.43713
3,H,1,Pocillopora,Verrucosa,P ver 145,unknown,none,Flinders,Coral Sea,17.71357,148.43713
3,A,2,Pocillopora,Verrucosa,P ver 160,unknown,none,Herald,Coral Sea,16.94348,149.18565
3,B,2,Pocillopora,Verrucosa,P ver 161,unknown,none,Herald,Coral Sea,16.94348,149.18565
3,C,2,Pocillopora,Verrucosa,P ver 164,unknown,none,Herald,Coral Sea,16.94348,149.18565
3,D,2,Pocillopora,Verrucosa,P ver 165,unknown,none,Herald,Coral Sea,16.94348,149.18565
3,E,2,Pocillopora,Verrucosa,P ver 166,unknown,none,Herald,Coral Sea,16.94348,149.18565
3,F,2,Pocillopora,Verrucosa,P ver 201,unknown,none,Lihou,Coral Sea,17.59707,151.48956
3,G,2,Pocillopora,Verrucosa,P ver 202,unknown,none,Lihou,Coral Sea,17.59707,151.48956
3,H,2,Pocillopora,Verrucosa,P ver 204,unknown,none,Lihou,Coral Sea,17.59707,151.48956
3,A,3,Pocillopora,Verrucosa,P ver 206,unknown,none,Lihou,Coral Sea,17.59707,151.48956
3,B,3,Pocillopora,Verrucosa,P ver 207,unknown,none,Lihou,Coral Sea,17.59707,151.48956
3,C,3,Pocillopora,Verrucosa,P ver 208,unknown,none,Lihou,Coral Sea,17.59707,151.48956
3,D,3,Pocillopora,Verrucosa,P ver 365,unknown,none,Bougainville,Coral Sea,15.49273,147.08638
3,E,3,Pocillopora,Verrucosa,P ver 366,unknown,none,Bougainville,Coral Sea,15.49273,147.08638
3,F,3,Pocillopora,Verrucosa,P ver 368,unknown,none,Bougainville,Coral Sea,15.49273,147.08638
3,G,3,Pocillopora,Verrucosa,P ver 369,unknown,none,Bougainville,Coral Sea,15.49273,147.08638
3,H,3,Pocillopora,Verrucosa,P ver 378,unknown,none,Bougainville,Coral Sea,15.49273,147.08638
3,A,4,Pocillopora,Verrucosa,P ver 379,unknown,none,Bougainville,Coral Sea,15.49273,147.08638
3,B,4,Pocillopora,Verrucosa,P ver 380,unknown,none,Bougainville,Coral Sea,15.49273,147.08638
3,C,4,Pocillopora,Verrucosa,P ver 383,unknown,none,Bougainville,Coral Sea,15.49273,147.08638
3,D,4,Pocillopora,Verrucosa,P ver 384,unknown,none,Bougainville,Coral Sea,15.49273,147.08638
3,E,4,Pocillopora,Verrucosa,P ver 228,unknown,none,Willis,Coral Sea,16.28728,149.9593
3,F,4,Pocillopora,Verrucosa,P ver 230,unknown,none,Willis,Coral Sea,16.28728,149.9593
3,G,4,Pocillopora,Verrucosa,P ver 231,unknown,none,Willis,Coral Sea,16.28728,149.9593
3,H,4,Pocillopora,Verrucosa,P ver 235,unknown,none,Willis,Coral Sea,16.28728,149.9593
3,A,5,Pocillopora,Verrucosa,P ver 241,unknown,none,Willis,Coral Sea,16.28728,149.9593
3,B,5,Pocillopora,Verrucosa,P ver 242,unknown,none,Willis,Coral Sea,16.28728,149.9593
3,C,5,Pocillopora,Verrucosa,P ver 243,unknown,none,Willis,Coral Sea,16.28728,149.9593
3,D,5,Pocillopora,Verrucosa,P ver 303,unknown,none,Holmes,Coral Sea,16.5045,147.99681
3,E,5,Pocillopora,Verrucosa,P ver 307,unknown,none,Holmes,Coral Sea,16.5045,147.99681
3,F,5,Pocillopora,Verrucosa,P ver 308,unknown,none,Holmes,Coral Sea,16.5045,147.99681
3,G,5,Pocillopora,Verrucosa,P ver 309,unknown,none,Holmes,Coral Sea,16.5045,147.99681
3,H,5,Pocillopora,Verrucosa,P ver 310,unknown,none,Holmes,Coral Sea,16.5045,147.99681
3,A,6,Pocillopora,Verrucosa,Mantis_Pver_20,unknown,none,Mantis,CapeGrenville,12.33836,143.86078
3,B,6,Pocillopora,Verrucosa,Mantis_Pver_22,unknown,none,Mantis,CapeGrenville,12.33836,143.86078
3,C,6,Pocillopora,Verrucosa,Mantis_Pver_26,unknown,none,Mantis,CapeGrenville,12.33836,143.86078
3,D,6,Pocillopora,Verrucosa,Mantis_Pver_28,unknown,none,Mantis,CapeGrenville,12.33836,143.86078
3,E,6,Pocillopora,Verrucosa,Mantis_Pver_30,unknown,none,Mantis,CapeGrenville,12.33836,143.86078
3,F,6,Pocillopora,Verrucosa,Mantis_Pver_34,unknown,none,Mantis,CapeGrenville,12.33836,143.86078
3,G,6,Pocillopora,Verrucosa,Mantis_Pver_38,unknown,none,Mantis,CapeGrenville,12.33836,143.86078
3,H,6,Pocillopora,Verrucosa,Mantis_Pver_2,unknown,none,Mantis,CapeGrenville,12.33836,143.86078
3,A,7,Pocillopora,Verrucosa,Mantis_Pver_4,unknown,none,Mantis,CapeGrenville,12.33836,143.86078
3,B,7,Pocillopora,Verrucosa,Mantis_Pver_6,unknown,none,Mantis,CapeGrenville,12.33836,143.86078
3,C,7,Pocillopora,Verrucosa,Mantis_Pver_8,unknown,none,Mantis,CapeGrenville,12.33836,143.86078
3,D,7,Pocillopora,Verrucosa,Mantis_Pver_10,unknown,none,Mantis,CapeGrenville,12.33836,143.86078
3,E,7,Pocillopora,Verrucosa,Mantis_Pver_12,unknown,none,Mantis,CapeGrenville,12.33836,143.86078
3,F,7,Pocillopora,Verrucosa,Mantis_Pver_14,unknown,none,Mantis,CapeGrenville,12.33836,143.86078
3,G,7,Pocillopora,Verrucosa,Mantis_Pver_16,unknown,none,Mantis,CapeGrenville,12.33836,143.86078
